district,case_number,date,party,fine,n_fines,days_since_covid,case_type
OKLAHOMA,CF-2020-01588,2021-03-04,18161938,50,1,353,CF
OKLAHOMA,CF-2020-01589,2020-08-25,18162102,50,1,162,CF
OKLAHOMA,CF-2020-01590,2021-01-11,18162138,100,1,301,CF
OKLAHOMA,CF-2020-01591,2020-05-14,18162582,50,1,59,CF
OKLAHOMA,CF-2020-01592,2020-05-14,18162590,50,1,59,CF
OKLAHOMA,CF-2020-01593,2020-05-14,18162607,100,1,59,CF
OKLAHOMA,CF-2020-01594,2020-05-12,18162632,100,1,57,CF
OKLAHOMA,CF-2020-01595,2020-05-14,18162650,80,1,59,CF
OKLAHOMA,CF-2020-01598,2020-08-31,18162669,150,1,168,CF
OKLAHOMA,CF-2020-01599,2021-09-08,18162676,50,1,541,CF
OKLAHOMA,CF-2020-01602,2020-12-14,18162682,100,1,273,CF
OKLAHOMA,CF-2020-01605,2021-01-05,18162689,50,1,295,CF
OKLAHOMA,CF-2020-01606,2020-09-24,18162692,50,1,192,CF
OKLAHOMA,CF-2020-01608,2020-08-18,18162696,100,1,155,CF
OKLAHOMA,CF-2020-01613,2021-02-22,18162713,240,2,343,CF
OKLAHOMA,CF-2020-01615,2020-12-17,18162719,50,1,276,CF
OKLAHOMA,CF-2020-01616,2021-02-02,18162721,50,1,323,CF
OKLAHOMA,CF-2020-01617,2021-05-18,18162722,50,1,428,CF
OKLAHOMA,CF-2020-01618,2020-08-20,18162929,100,1,157,CF
OKLAHOMA,CF-2020-01620,2021-09-22,18163429,100,1,555,CF
OKLAHOMA,CF-2020-01621,2021-02-26,18163434,100,1,347,CF
OKLAHOMA,CF-2020-01623,2021-08-17,18163451,50,1,519,CF
OKLAHOMA,CF-2020-01624,2022-04-20,18163458,130,1,765,CF
OKLAHOMA,CF-2020-01626,2021-07-07,18163466,50,1,478,CF
OKLAHOMA,CF-2020-01628,2021-08-16,18164075,200,2,518,CF
OKLAHOMA,CF-2020-01629,2020-11-03,18164082,100,1,232,CF
OKLAHOMA,CF-2020-01630,2022-08-10,18164086,50,1,877,CF
OKLAHOMA,CF-2020-01631,2020-09-09,18164143,100,1,177,CF
OKLAHOMA,CF-2020-01632,2020-07-09,18164146,50,1,115,CF
OKLAHOMA,CF-2020-01635,2020-11-16,18164650,100,1,245,CF
OKLAHOMA,CF-2020-01637,2020-10-14,18164726,800,1,212,CF
OKLAHOMA,CF-2020-01638,2022-03-25,18164728,100,1,739,CF
OKLAHOMA,CF-2020-01639,2020-05-14,18164729,80,1,59,CF
OKLAHOMA,CF-2020-01640,2020-05-12,18164730,50,1,57,CF
OKLAHOMA,CF-2020-01641,2020-08-26,18164731,50,1,163,CF
OKLAHOMA,CF-2020-01643,2021-07-28,18164775,100,1,499,CF
OKLAHOMA,CF-2020-01644,2021-11-16,18164779,700,1,610,CF
OKLAHOMA,CF-2020-01645,2020-12-04,18165228,100,1,263,CF
OKLAHOMA,CF-2020-01647,2020-10-29,18165236,50,1,227,CF
OKLAHOMA,CF-2020-01649,2021-01-20,18165545,100,1,310,CF
OKLAHOMA,CF-2020-01650,2022-04-13,18165553,50,1,758,CF
OKLAHOMA,CF-2020-01653,2021-01-12,18165645,50,1,302,CF
OKLAHOMA,CF-2020-01655,2021-10-05,18165711,50,1,568,CF
OKLAHOMA,CF-2020-01656,2020-11-10,18165725,105,2,239,CF
OKLAHOMA,CF-2020-01659,2020-05-14,18165794,50,1,59,CF
OKLAHOMA,CF-2020-01661,2021-10-08,18166079,200,1,571,CF
OKLAHOMA,CF-2020-01661,2022-09-07,18268923,100,1,905,CF
OKLAHOMA,CF-2020-01662,2020-07-21,18166116,50,1,127,CF
